timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726840700591,632,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,1,1,https://reqres.in/api/users?page=2,623,0,559
1726840701227,61,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,892,290,1,1,https://reqres.in/api/users,61,0,0
1726840701293,81,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,80,0,49
1726840701328,89,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,89,0,55
1726840701375,61,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,2,2,https://reqres.in/api/users,61,0,0
1726840701418,66,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,892,290,2,2,https://reqres.in/api/users,66,0,0
1726840701438,73,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,73,0,52
1726840701488,72,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,71,0,45
1726840701512,60,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,2,2,https://reqres.in/api/users,60,0,0
1726840701560,60,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,2,2,https://reqres.in/api/users,59,0,0
1726840701573,67,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,67,0,32
1726840701622,63,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,63,0,34
1726840701640,62,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,2,2,https://reqres.in/api/users,61,0,0
1726840701686,57,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,2,2,https://reqres.in/api/users,57,0,0
1726840701703,61,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,61,0,33
1726840701765,55,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,2,2,https://reqres.in/api/users,55,0,0
1726840701745,77,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,77,0,36
1726840701823,51,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,892,290,2,2,https://reqres.in/api/users,51,0,0
1726840701823,64,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,63,0,42
1726840701888,45,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,2,2,https://reqres.in/api/users,44,0,0
1726840701876,68,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,67,0,46
1726840701935,63,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,63,0,42
1726840701945,57,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,2,2,https://reqres.in/api/users,57,0,0
1726840701999,49,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,892,290,2,2,https://reqres.in/api/users,49,0,0
1726840702005,75,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,2,2,https://reqres.in/api/users?page=2,75,0,40
