timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726841403078,102,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-31,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,90,0,51
1726841402804,376,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-13,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,364,0,318
1726841402804,376,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-32,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,365,0,318
1726841402386,794,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-15,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,783,0,737
1726841402555,625,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-33,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,614,0,570
1726841402472,708,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-14,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,697,0,648
1726841402779,401,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,1,11,https://reqres.in/api/users?page=2,389,0,343
1726841402386,794,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-35,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,782,0,734
1726841402386,794,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-34,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,783,0,738
1726841403137,80,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 3-12,text,true,,1928,127,9,11,https://reqres.in/api/users?page=2,80,0,45
1726841402791,429,Create a User,201,Created,Stress Testing with 150 VU 2-20,text,true,,897,290,1,11,https://reqres.in/api/users,429,0,329
1726841403186,59,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,897,290,1,11,https://reqres.in/api/users,59,0,0
1726841403185,60,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 3-33,text,true,,896,290,9,11,https://reqres.in/api/users,60,0,0
1726841403188,60,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 3-13,text,true,,897,290,9,11,https://reqres.in/api/users,60,0,0
1726841403185,63,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 3-34,text,true,,897,290,9,11,https://reqres.in/api/users,63,0,0
1726841403186,68,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 3-32,text,true,,897,290,9,11,https://reqres.in/api/users,68,0,0
1726841403221,33,Get Users List,200,OK,Stress Testing with 150 VU 2-20,text,true,,1928,127,1,11,https://reqres.in/api/users?page=2,33,0,0
1726841403189,68,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 3-31,text,true,,897,290,9,11,https://reqres.in/api/users,68,0,0
